,cnx_class,MP_probed,MP_cnx,twoP_probed,twoP_cnx,MP_prob,twoP_prob,fisher_p,min_probed,p_multiple_comp
0,L23exc_L23exc,135,8,205,12,0.059259259,0.058536585,1.0,135.0,1.0
1,L23exc_L23exc200,48,2,312,3,0.041666667,0.009615385,0.1338013057569833,48.0,0.5815624467871154
2,L23exc_L23pv,28,13,41,19,0.464285714,0.463414634,1.0,28.0,1.0
3,L23exc_L23pv200,27,8,60,9,0.296296296,0.15,0.14539061169677886,27.0,0.5815624467871154
4,L23exc_L23vip,25,6,24,7,0.24,0.291666667,0.7536135200416338,24.0,1.0
5,L23exc_L23vip200,28,4,11,0,0.142857143,0.0,0.30911478279899285,11.0,0.8243060874639809
6,L23sst_L23exc,38,9,101,45,0.236842105,0.445544554,0.0314577337930645,38.0,0.503323740689032
7,L23sst_L23exc200,22,6,167,38,0.272727273,0.22754491,0.6007340708617989,22.0,1.0
8,L23sst_L23pv,36,8,12,2,0.222222222,0.166666667,1.0,12.0,1.0
9,L23sst_L23pv200,35,4,26,4,0.114285714,0.153846154,0.7133811321559593,26.0,1.0
10,L23sst_L23sst,94,5,20,1,0.053191489,0.05,1.0,20.0,1.0
11,L23sst_L23sst200,20,1,61,2,0.05,0.032786885,1.0,20.0,1.0
12,L23pv_L23pyr,31,17,50,17,0.548387097,0.34,0.10421264953296586,31.0,0.5815624467871154
13,L23pv_L23pyr200,30,9,96,18,0.3,0.1875,0.20808895809418293,30.0,0.6658846659013854
14,L23pv_L23pv,82,30,17,6,0.365853659,0.352941176,1.0,17.0,1.0
15,L23pv_L23pv200,102,32,35,14,0.31372549,0.4,0.408287345255735,35.0,0.9332282177273943
