cnx_class,MP_probed,MP_cnx,twoP_probed,twoP_cnx,MP_prob,twoP_prob
L23exc_L23exc,135,8,205,12,0.059259259,0.058536585
L23exc_L23exc200,48,2,312,3,0.041666667,0.009615385
L23exc_L23pv,28,13,41,19,0.464285714,0.463414634
L23exc_L23pv200,27,8,60,9,0.296296296,0.15
L23exc_L23vip,25,6,24,7,0.24,0.291666667
L23exc_L23vip200,28,4,11,0,0.142857143,0
L23sst_L23exc,38,9,101,45,0.236842105,0.445544554
L23sst_L23exc200,22,6,167,38,0.272727273,0.22754491
L23sst_L23pv,36,8,12,2,0.222222222,0.166666667
L23sst_L23pv200,35,4,26,4,0.114285714,0.153846154
L23sst_L23sst,94,5,20,1,0.053191489,0.05
L23sst_L23sst200,20,1,61,2,0.05,0.032786885
L23pv_L23pyr,31,17,50,17,0.548387097,0.34
L23pv_L23pyr200,30,9,96,18,0.3,0.1875
L23pv_L23pv,82,30,17,6,0.365853659,0.352941176
L23pv_L23pv200,102,32,35,14,0.31372549,0.4
